english_text,tatar_text
"Victoria , British Columbia , Canada : British Columbia Vital Statistics Agency .","Виктория, Британ Колумбиясе, Канада: Британ Колумбиясе гражданлык хәле актларын теркәү агентлыгы."
It 's cold today .,Бүген салкын.
Children catch colds easily .,Балалар тиз салкын тидерәләр.
From 1992 to 1994 – 95 seasons competed at professional level .,1992 елдан 1994-95 елгы сезоннарга кадәр профессиональ дәрәҗәдә чыгыш ясады.
The body was found 200 meters away from the house .,Мәет өйдән 200 метр ераклыкта табылган.
"As established by law and government policy , the two official forms of written Norwegian are Bokmål ( literally "" book tongue "" ) and Nynorsk ( "" new Norwegian "" ) .","Закон һәм хөкүмәт сәясәте нигезендә, язма норвег теленең ике рәсми формасы — Букмол (туры мәгънәдә ""китап теле"") һәм Нюнорск (""яңа норвег теле"")."
The city and its gardens and orchards straggle some 10 km along the valley which has a mean breadth of scarcely 1 kilometre .,"Шәһәр, аның бакчалары һәм җимеш бакчалары уртача киңлеге 1 километрдан чак кына артыграк булган үзән буйлап якынча 10 километрга сузылган."
So really eBay 's really sort of about this third thing of who gets the good .,"Димәк, eBay чынлыкта товарның кемгә эләгүе турындагы шушы өченче әйбер хакында."
Pi is profits .,$\pi$ - табыш.
Take care .,Үзеңне сакла.
""" Shanghai Contemporary Art Museum | space | ARTLINKART | Chinese contemporary art database "" . artlinkart .",Шанхай заманча сәнгать музее | киңлек | ARTLINKART | Кытай заманча сәнгать мәгълүмат базасы
"( Yet , ) I have never left my position , nor have I shirked hazardous duty .","(Ләкин,) мин беркайчан да үз урынымны ташлап китмәдем, куркыныч бурычтан да качмадым."
Cuilén seems to have been succeeded by his kinsman Cináed mac Maíl Choluim .,Cuilénnan soñ xakimiyätkä anıñ tuğanı Cináed mac Maíl Choluim kilgän kebek.
We 're releasing all the sentences we collect under the Creative Commons Attribution license .,Без җыйган барлык җөмләләрне Creative Commons Attribution лицензиясе нигезендә чыгарабыз.
The sun rose over the horizon .,Кояш офык өстеннән күтәрелде.
"The two gods then captured her , and distorted her to make the land from her body .",Шуннан соң ике илаһ аны тоткынлыкка алганнар һәм гәүдәсеннән җир ясар өчен аны кыйшайтканнар.
"For instance , the 15 Stirling permutations of order three are 1,1,2,2,3,3 ; 1,2,2,1,3,3 ; 2,2,1,1,3,3 ; 1,1,2,3,3,2 ; 1,2,2,3,3,1 ; 2,2,1,3,3,1 ; 1,1,3,3,2,2 ; 1,2,3,3,2,1 ; 2,2,3,3,1,1 ; 1,3,3,1,2,2 ; 1,3,3,2,2,1 ; 2,3,3,2,1,1 ; 3,3,1,1,2,2 ; 3,3,1,2,2,1 ; 3,3,2,2,1,1 .","Мәсәлән, өченче тәртиптәге 15 Стирлинг алмаштырмасы түбәндәгечә: 1,1,2,2,3,3 ; 1,2,2,1,3,3 ; 2,2,1,1,3,3 ; 1,1,2,3,3,2 ; 1,2,2,3,3,1 ; 2,2,1,3,3,1 ; 1,1,3,3,2,2 ; 1,2,3,3,2,1 ; 2,2,3,3,1,1 ; 1,3,3,1,2,2 ; 1,3,3,2,2,1 ; 2,3,3,2,1,1 ; 3,3,1,1,2,2 ; 3,3,1,2,2,1 ; 3,3,2,2,1,1 ."
Lowering them into place ( water flowing ) .,Аларны урыннарына төшерү ( су ага ) .
"In the ranking round on 28 July 1996 , she finished 50th with a TH of 72 , scoring 11 10s and 28 9s .","1996 елның 28 июлендә узган сайлап алу турында ул 72 TH нәтиҗәсе белән 50 нче урынны алды, 11 тапкыр ""унлык""ка һәм 28 тапкыр ""тугызлык""ка тидерде."
"They were then invested with an apron , and seated at the lodge table , where they received their instruction .","Аннары аларга алъяпкыч кидерделәр һәм ложа өстәле янына утырттылар, анда алар үз күрсәтмәләрен алдылар."
""" And let me tell you , "" he said , "" when they were done , did that grass reek ! ""","""Һәм сиңа шуны әйтим, — диде ул, — алар бетергәч, ул үләннән нинди сасы ис килә иде!"""
Pennsylvania beat Carnegie Tech 25-10 in Pittsburgh .,Пенсильвания Питтсбургта Карнеги Техны 25-10 исәбе белән җиңде.
She ca n't write or read .,"Ул яза да, укый да белми."
This table is clean .,Бу өстәл чиста.
"As of May 30 , 2018 "" Canada Soccer "" . canadasoccer.com .","2018 елның 30 маена ""Canada Soccer"". canadasoccer.com."
He died of a heart attack in 1924 .,Ул 1924 елда йөрәк өянәгеннән үлә.
The trade- off is that basically now we 've allocated the kidney away from the poor person to the rich person .,"Моның кире ягы шул: без бөерне ярлы кешедән алып, бай кешегә бирдек."
The district ranks 9th in terms of the total area among the districts of Karnataka .,Район мәйданы буенча Карнатака районнары арасында 9-нчы урынны били.
That 's the positive question .,Бу уңай сорау.
"Stitched together from cultural , religious and occult traditions that spans centuries .","Гасырларны колачлаган мәдәни, дини һәм оккульт традицияләрдән тупланган."
"My Name is Ricky Blaze - EP ( 2010 ) The Maestro ( 2013 ) Conquer the Moment ( 2016 ) X-Rated ( 2018 ) "" Biography : Ricky Blaze "" .","My Name is Ricky Blaze - EP ( 2010 ) The Maestro ( 2013 ) Conquer the Moment ( 2016 ) X-Rated ( 2018 ) "" Biography : Ricky Blaze "" ."
38 km from main town of Rudraprayag .,Рудрапраягның төп шәһәреннән 38 км ераклыкта.
Together with his companion ( compagna ) he sends her away .,Ул үзенең юлдашы (хатын-кыз) белән бергә аны куып җибәрә.
Think about something you 've always wanted to add to your life and try it for the next 30 days .,Тормышыгызга һәрвакыт өстәргә теләгән берәр нәрсә турында уйлагыз һәм киләсе 30 көн дәвамында шуны эшләп карагыз.
"In May 1804 , Napoleon Bonaparte declared himself Emperor of the French .",1804 елның маенда Наполеон Бонапарт үз-үзен французлар императоры дип игълан иткән.
"If I fail to find a new job in Boston within 6 months , I will return to Chicago .","Әгәр 6 ай эчендә Бостонда яңа эш таба алмасам, мин Чикагога кире кайтачакмын."
"September 21 , 2006 – Chicagoland Speedway ( September 9 ) .","21 сентябрь, 2006 – Chicagoland Speedway (9 сентябрь)."
We see him every day .,Без аны көн саен күрәбез.
Long unsuccessfully challenged sitting New York City Councilman Sal Albanese in 1985 in the 31st District ( Bay Ridge ) ; the seat was previously held by Republican Angelo J. Arculeo .,1985 елда Лонг 31-нче округта (Бэй-Ридж) Нью-Йорк шәһәр Советының гамәлдәге әгъзасы Сэл Албанезега каршы уңышсыз көрәште; бу урынны элек республикачы Анджело Дж. Аркулео биләгән иде.
In winter it snows .,Кышын кар ява.
DAILY from Eastern Africa and the Indian Ocean islands .,Көн саен Көнчыгыш Африкадан һәм Һинд океаны утрауларыннан.
It is believed that there were wars between them .,Алар арасында сугышлар булган дип санала.
"I have a model of that , that I 've built theoretically .",Минем моның теоретик яктан төзелгән моделе бар.
Eat your food .,Ризыгыңны аша.
"It is also stated that jasmine crossed the seas — from Asia to Europe , landing first along the Mediterranean Sea , conquering Greece and Turkey , reaching Western Europe through Spain , then France and Italy and finally landing in England in the latter part of the 17th century .","Шулай ук, ясминнең диңгезләр аша — Азиядән Европага күчүе, башта Урта диңгез буйларына килеп төшүе, Греция һәм Төркияне яулап алуы, Испания аша Көнбатыш Европага барып җитүе, аннары Франция һәм Италиягә, һәм ниһаять, 17 нче гасырның икенче яртысында Англиягә килеп җитүе турында әйтелә."
"The Soviet Union was dissolved on December 26 , 1991 .",Советлар Союзы 1991 елның 26 декабрендә таркатылды.
"Catholic : 4,899 .","Католиклар : 4,899 ."
"Beneath ; 2 iron serpentines , 12 hagbuts .","Аста ; 2 тимер серпентин, 12 гаковница."
He earned a Doctor of Philosophy degree ( 1928 ) and a Doctor of Sacred Theology ( 1932 ) from the College of the Propagation of the Faith .,Ул Дин тарату көллиятеннән фәлсәфә докторы (1928) һәм изге илаһият докторы (1932) дәрәҗәләрен алган.
Everything is OK .,Барысы да яхшы.
The area around the Azores remains active .,Азор утраулары тирәсендәге өлкә актив булып кала.
"Assistant Head of the Department of Peasant Colonization ( 1896 – 1904 ) , and Head ( 1904 – 1905 ) .",Крестьяннарны күчереп утырту идарәсе башлыгы ярдәмчесе (1896–1904) һәм башлыгы (1904–1905).
He drinks and he gambles .,Ул эчә һәм отышлы уеннар уйный.
Mr Fox 's political fortunes were in decline .,Fox әфәнденең сәяси уңышлары кими башлады.
1960 – Tikotin Museum of Japanese Art opens on Mt .,1960 – Кармель тавында Тикотин япон сәнгате музее ачыла.
RA-76740 of the 708th Guards Kerch Red Banner Military Transport Aviation Regiment was given the honorary title Taganrog .,708 нче гвардия Керчь Кызыл Байраклы хәрби-транспорт авиация полкының RA-76740 номерлы очкычына «Таганрог» мактаулы исеме бирелде.
Where can I put this box ?,Бу тартманы кая куя алам?
"By the late 30s , Trick or Treat became the holiday greeting .","30-нчы еллар ахырына ""Trick or Treat"" (Татлы әйбер бир, югыйсә шаяртам) бәйрәм сәламләвенә әверелде."
There are many people in the park .,Паркта кеше күп.
The scandal will dog them .,Бу җәнҗал аларны эзәрлекләячәк.
How much is this watch ?,Bu säğät niçä sum tora?
That 's a good idea !,Бу бик яхшы фикер!
Its main base is Dubbo Airport .,Аның төп базасы — Даббо һава аланы.
14 % of its shares .,Аның акцияләренең 14 %-ы.
Documentary film series on YouTube Official video on YouTube Official video on YouTube Official video on YouTube Official video ( English subtitles ) on YouTube Official video on YouTube Official video on YouTube .,YouTube'та документаль фильмнар сериясе YouTube'та рәсми видео YouTube'та рәсми видео YouTube'та рәсми видео YouTube'та рәсми видео (инглизчә субтитрлар) YouTube'та рәсми видео YouTube'та рәсми видео.
I 'm eating lunch .,Мин төшке аш ашыйм.
"And she is true , as she has proved herself .","Һәм ул тугры, моны ул үзе дә раслады."
I do n't like this sentence .,Мин бу җөмләне яратмыйм.
The Palestinian film industry produced over five feature films in 2014 .,2014 елда Фәләстин киноиндустриясе биштән артык нәфис фильм чыгарды.
So here 's one last thing I 'd like to mention .,Менә тагын бер соңгы әйберне әйтәсем килә.
"With 172 shelters throughout the country , it is estimated that 103,000 cats and 46,000 dogs were taken in during 2013 .","Ил буенча 172 сыену урыны булу сәбәпле, 2013 елда 103 000 мәче һәм 46 000 эт кабул ителгән дип исәпләнә."
"David , aged 15 , was arrested on 17 July 1559 .",15 яшьлек Дэвид 1559 елның 17 июлендә кулга алынган.
"ISBN 9057891530 . for telling and singing ) which were discovered in the suburbs of Shanghai in 1967.3 While these shuochang cihua had been printed in modern-day Beijing , their language suggests that they had been composed in the Wu-dialect area of Suzhou and surroundings Old Book of Tang , vol .","ISBN 9057891530 . сөйләү һәм җырлау өчен ) алар 1967 елда Шанхай тирәсендә табылган.3 Бу ""шуочаң цихуа"" хәзерге Пекинда басылып чыккан булса да, аларның теле аларның Сучжоу һәм аның тирәсендәге Ву диалекты өлкәсендә иҗат ителгәнлеген күрсәтә. Иске Тан китабы, том ."
They also grow vegetables in gardens near their homesteads .,Алар шулай ук йорт янындагы бакчаларында яшелчәләр үстерәләр.
"Bertrand Russell ( 1903 ) , The Principles of Mathematics : Vol .","Бертран Рассел (1903), Математика принциплары: Том."
The negative powers of the number ten are decimal fractions of ten .,Ун санының тискәре дәрәҗәләре унның унарлы вакланмалары булып тора.
It is expected to hold around 150 million barrels of oil .,Анда якынча 150 миллион баррель нефть бар дип көтелә.
Wong was called to the Singapore Bar in 1979 .,Вонг 1979 елда Сингапур адвокатурасына кабул ителде.
1913 by the architect Mathias Bidstrup .,1913 елда архитектор Матиас Бидструп тарафыннан.
Then that 's one less kidney that can go to the transplant center .,"Димәк, бу трансплантация үзәгенә китә алырлык бөерләрнең бергә кимүе дигән сүз."
The terrain is hilly plain on the Orel-Kursk plateau of the Central Russian Upland .,Рельеф Урта Рус калкулыгының Орел-Курск платосындагы калкулыклы тигезлектән гыйбарәт.
"September 9 : Mahmoud Taleghani , the high rank revolutionary cleric and member of revolutionary council , dies .",9 сентябрь: Югары дәрәҗәле инкыйлаб рухание һәм Инкыйлаб шурасы әгъзасы Мәхмүд Талегани вафат була.
Those who want the most to get Lady Gaga should get the tickets .,Lady Gaga-ны күрергә иң нык теләүчеләр билетларны алырга тиеш.
"The highest point in Brazil is Pico da Neblina at 2,994 m ( 9,823 ft ) .",Braziliädä iñ biek noqta — 2994 m (9823 ft) bieklegendäge Piko-da-Neblina.
Then it was sent to the duplicators !,Аннары ул күбәйтүчеләргә җибәрелде!
"Screaming Lord Sutch ( 1940 – 1999 ) , founder of the Monster Raving Loony Party .","Screaming Lord Sutch (1940 – 1999), Monster Raving Loony Party партиясенә нигез салучы."
You should be proud .,Син горурланырга тиешсең.
"In June 1967 , she appeared on the music show Bandstand .",1967 елның июнендә ул Bandstand музыкаль тапшыруында чыгыш ясады.
"He was appointed rabbi of Lubań , where he served for sixteen years .","Ул Любань раввины итеп билгеләнде, анда ул уналты ел хезмәт итте."
The car debuted at the 2012 24 Hours of Daytona .,"Автомобиль 2012 елгы ""Дейтонаның 24 сәгате"" узышында беренче тапкыр катнашты."
"This number has risen to 38,589 by March 2018 .",2018 елның мартына бу сан 38 589га җитте.
"Ardent Media . Homans , James E. , ed .","Ardent Media . Homans , James E. , мөх ."
"In 1931 , the British Parliament enacted the Statute of Westminster , 1931 .",1931 елда Британия парламенты 1931 елгы Вестминстер статутын кабул итте.
"Guffey , op cit , 127 .","Guffey, op cit, 127."
L 'affaire Alfredo Stranieri 17 octobre 2007 Olivier Bertrand ( 21 July 1999 ) .,Альфредо Страниери эше 17 октябрь 2007 Оливье Бертран ( 21 июль 1999 ) .
It has pale grey upperparts and white underparts .,"Аның өске ягы аксыл соры, ә аскы ягы ак төстә."
Firms are going to maximize profits .,Фирмалар табышны максимальләштерергә җыеналар.
Momoko Ōtani is currently under her supervision .,Момоко Отани хәзерге вакытта аның күзәтүе астында.
Ahmaad is a given name .,Әхмәд - исем.
"1 percent native , 2 percent Asian , 1 percent black , 2 percent Hispanic , 94 percent white .","1 процент җирле халык, 2 процент азияле, 1 процент кара тәнле, 2 процент испан телле, 94 процент ак тәнле."
Cats have two ears .,Песиләрнең ике колагы бар.
The arable land is one carucate .,Сөрүлек җир бер каруката тәшкил итә.
"For other numbers , the algorithm only returns “ composite ” with no further information .",Башка саннар өчен алгоритм өстәмә мәгълүматсыз бары тик «кушма» дип кенә кайтара.
"Oh , beloved native language Oh , enchanting mother tongue !","И туган тел, и матур тел, әткәм-әнкәмнең теле!"
Irish Pages does not associate itself with any political movements in Ireland or elsewhere .,Irish Pages үзен Ирландиядәге яки башка җирдәге бернинди сәяси хәрәкәтләр белән дә бәйләми.
There is a metro in Kazan .,Казанда метро бар.
"He said , "" Well , easy , this is District Eight .","Ул: «Ярар, тыныч, бу сигезенче район», — диде."
""" Nostalchic by Lapalux "" .",Lapalux тарафыннан Nostalchic
MUAHAH chokes cough It was for longer than that !,МУАХАХ *төелә* *ютәли* Бу аннан озаграк иде !
"The chair prop itself was transported from Florida to the offices of Reince Priebus , the former Chairman of the Republican National Committee .",Урындык реквизитының үзе Флоридадан Республика милли комитетының элеккеге рәисе Райнс Прибус офисларына күчерелде.
"Konstantin Markovich ( 1782 – 1858 ) was lieutenant general , participant in Napoleonic Wars , Yaroslavl governor .","Константин Маркович (1782–1858) — генерал-лейтенант, Наполеон сугышларында катнашучы, Ярославль губернаторы."
Her Grace the Duchess of Northumberland and Lady Elizabeth Percy .,Нортумберленд герцогинясы Җәнаби-югарылыклары һәм Леди Элизабет Перси.
From : The Book of Sun-dials .,Чыганак: Кояш сәгатьләре китабы.
- I will not know what to say .,Мин нәрсә әйтергә белмәячәкмен.
""" My mother pushed me . """,Әнием мине этте.
Broadcasting Yearbook 1973 .,Тапшырулар еллыгы 1973
Bass on 4 by Darren Sheldon .,Даррен Шелдон башкаруында 4-нче тректа бас.
Awarded the Nobel Prize in Physiology or Medicine in 1968 .,1968 елда физиология яки медицина өлкәсендә Нобель премиясе бирелде.
"Nazi policies in German occupied countries resulted in the deaths of 2.7 million Poles , 1.3 million Ukrainians , 1 million Belarusians and an estimated 3.5 million Soviet war prisoners .","Германия басып алган илләрдәге нацист сәясәте нәтиҗәсендә 2,7 миллион поляк, 1,3 миллион украин, 1 миллион белорус һәм якынча 3,5 миллион совет хәрби әсире һәлак булган."
It appears he does not favour children studying books .,"Ахрысы, ул балаларның китап укуын хупламый."
"In 2000 , Umnak was permanently inhabited by only 39 people .",2000 елда Умнакта нибары 39 кеше даими яшәгән.
"Bajra , rice ( Period IIA ) and Millet ( Period HI ) were found .","Баҗра, дөге (IIA чоры) һәм тары (III чоры) табылган."
Chief Minister Vasundhara Raje declared Praratapgarh as 33rd district of Rajasthan on 8 March 2007 in legislative assembly 's budget session .,Баш министр Васундхара Радже 2007 елның 8 мартында закон чыгару җыелышының бюджет сессиясендә Пратапгархны Раджастанның 33 нче округы дип игълан итте.
In memory of Abel Ehrlich ( 2010 ) .,Абель Эрлих истәлегенә (2010).
The state of Slovenia was created in 1945 as part of federal Yugoslavia .,Sloveniya däwläte 1945 yılda federal' Yugoslaviya sostavında barlıqqa kilde.
"Which is simply that we as a society value equality , value income inequality .","Бу бары тик безнең җәмгыять буларак тигезлекне, керем тигезсезлеген бәяләвебезне аңлата."
Arm ’ s Reach ( Australia ) Atlas Shrugged ( U.S.A. ),Arm's Reach ( Австралия ) Atlas Shrugged ( АКШ )
YouTube is not a good website .,YouTube яхшы вебсайт түгел.
Would you have her marry him ?,Син аның аңа кияүгә чыгуын теләр идеңме?
"That August saw him complete a catalogue of the Kings of Ireland , from Partholón to Ruaidrí Ua Conchobair , entitled Réim Ríoghraidhe Éireann .","Шул август аенда ул Партолоннан алып Руайдри Уа Конхобарга кадәрге Ирландия патшаларының ""Réim Ríoghraidhe Éireann"" дип аталган каталогын төзеп бетерде."
Whether the secondary icon is activatable,Икенчел билгесенең активлаштырыла алу-алмавы
"For a king , he had no conversation .","Патша булса да, аның сөйләшер сүзе юк иде."
Its forewing length is 18 – 25 mm .,Аның алгы канат озынлыгы 18–25 мм.
The film was released in 2D and 3D .,Фильм 2D һәм 3D форматларында дөнья күрде.
"1740 AD : In the 1740s , the British government , following the Jacobite rising of 1745 , instituted the "" Highland Clearances "" in Scotland which essentially depopulated much of the Scottish Highlands .","1740 ел : 1740-нчы елларда Британия хөкүмәте, 1745 елгы якобитлар күтәрелешеннән соң, Шотландиядә ""Таулы чистартулар"" (Highland Clearances) үткәрә, бу исә Шотландия тауларының күп өлешен халыксыз калдыра."
"His career as a sculptor started at an early age ; in 1963 , when he was only 26 , he was awarded the prestigious Venezuelan National Award in Sculpture ( Premio Nacional de Escultura ) for the work "" Forma 1961 "" .","Аның скульптор буларак карьерасы иртә яшьтә башланган; 1963 елда, аңа нибары 26 яшь булганда, ул ""Forma 1961"" эше өчен абруйлы Венесуэла Милли Скульптура премиясенә (Premio Nacional de Escultura) лаек булган."
It was created by Gebr .,Аны Gebr. иҗат иткән.
"70,000 people inhabit the region .",Төбәктә 70 000 кеше яши.
"Reads : Come for my soul , O you wardens of the sky !","Укыла: Җанымны алырга килегез, әй күк сакчылары!"
Have you already eaten ?,Син ашадыңмы инде?
The boy eats bread .,Малай икмәк ашый.
"Again he sent out other servants , saying , ' Tell those who are invited , "" Behold , I have prepared my dinner .",Ул кабат башка хезмәтчеләрен җибәрде һәм аларга болай диде: «Чакырылганнарга әйтегез: „Мин төшке аш әзерләдем“».
We study Chinese .,Без кытай телен өйрәнәбез.
"So that 's the first factor , is going to be your preferences and break down how much you are willing to take a risk that you need this fifth edition .","Шулай итеп, бу беренче фактор – сезнең өстенлекләрегез һәм бу бишенче басманың сезгә кирәк булуына бәйле рәвештә күпме дәрәҗәдә куркыныч астына куярга әзер булуыгызны ачыклау."
"Thus the book 's title should not be misconstrued as suggesting that the book deals only with codes , and not with ciphers ; or that the book is in fact a codebook .","Шулай итеп, китапның исеме бу китап бары тик кодлар турында гына, ә шифрлар турында түгел дигән ялгыш фикер тудырырга тиеш түгел; яисә бу китап чынлыкта кодлар җыентыгы дип уйланылырга тиеш түгел."
' Hallow ' means holy or saintly,"""Hallow"" сүзе изге яки әүлия дигәнне аңлата"
Sold to Chinese owners in 1862 .,1862 елда кытай хуҗаларына сатылган.
"A. Adams . , P. Z. S. 1864 , pp. 37 , t .","А. Адамс . , P. Z. S. 1864 , 37 б. , t ."
"In nature , the energy source is solar power captured biologically through photosynthesis .",Табигатьтә энергия чыганагы булып фотосинтез аша биологик юл белән тупланган кояш энергиясе тора.
Mary deactivated her Facebook account .,Мэри Facebook аккаунтын деактивацияләде.
"Messengers were accordingly dispatched to Fiachra son of Colman son of Eogan , and he was brought unto them to help them , for few were their learned men , and many were their unlearned , and numerous their contentions and their problems .","Шуңа күрә, Эоган улы Колман улы Фиахрага хәбәрчеләр җибәрелде, һәм ул аларга ярдәм итәр өчен китерелде, чөнки аларның укымышлы кешеләре аз, ә наданнары күп иде, һәм аларның бәхәсләре һәм проблемалары бихисап иде."
"Please , speak a little louder .","Зинһар, бераз кычкырып сөйләгез."
The Russian nightingales are even singing this year exclusively for glorification of the Great Victory .,Рус сандугачлары да бу елны бары тик Бөек Җиңүне данлау өчен генә сайрыйлар.
I have exhausted myself in the service of the King .,Мин патшага хезмәт итеп хәлдән тайдым.
Bygd – The Bygd of Norway are a subset of the Romanifolket .,Bygd – Норвегиянең Bygd халкы Romanifolket халыкының бер өлеше булып тора.
Where did you see the woman ?,Сез ул хатынны кайда күрдегез?
Gold is heavier than iron .,Алтын тимердән авыррак.
"His great-grandsire was Hyperion , son of the English Triple Crown Champion Gainsborough .",Аның зур бабасы — Инглиз өчләтә таҗ чемпионы Гейнсбороның улы Гиперион иде.
These have to be reached by a 13 km trek over the hills .,Аларга калкулыклар аша 13 чакрым җәяү үтеп кенә барып җитеп була.
"If a model can 't explain reality , it 's not useful .","Әгәр модель чынбарлыкны аңлата алмый икән, ул файдасыз."
What do you prefer ?,Сез нәрсәгә өстенлек бирәсез?
Raised garden bed with lettuce in Asia .,Азиядә салат яфрагы үскән күтәрелгән түтәл.
Millions of deaf and hard- of- hearing viewers require subtitles to access video .,Миллионлаган саңгырау һәм начар ишетүче тамашачыларга видео карау өчен субтитрлар кирәк.
"In genetic engineering , transposon tagging is a process where transposons ( transposable elements ) are amplified inside a biological cell by a tagging technique .",Генетик инженериядә транспозонлы тамгалау — биологик күзәнәк эчендә транспозоннарның (күчеп йөрүче элементларның) тамгалау техникасы ярдәмендә күбәйтелү процессы.
1983 - City hosts Bundesgartenschau ( garden show ) .,1983 - Шәһәрдә Bundesgartenschau (бакча күргәзмәсе) уза.
"Why can I say , "" I 'll take my steak medium rare ,","Ни өчен мин ""I'll take my steak medium rare"" дип әйтә алам,"
The Japan Time .,The Japan Times
"Someday I may have a lover , too .",Беркөнне минем дә сөйгәнем булырга мөмкин.
"MAA , 2000 , pp. 29 Ross Honsberger : Mathematical Morsels .","MAA , 2000 , 29 б. Ross Honsberger : Mathematical Morsels ."
210 ( two hundred ten ) is the natural number following 209 and preceding 211 .,210 (ике йөз ун) — 209 дан соң һәм 211 дән алда килә торган натураль сан.
"And this , Lady Sarah , is George Selwyn .","Ә бу, леди Сара, Джордж Селвин."
"Bhagavad Gita trial in Russia Bromley , David G. ; Shinn , Larry D. ( 1989 ) .","Русиядә Бхагавад Гита өстеннән мәхкәмә эше Бромли, Дэвид Г.; Шинн, Ларри Д. (1989)."
"We do not worship idols "" .",Без потларга табынмыйбыз.
Do you wish me to invite some friends to visit ?,Дусларны кунакка чакыруымны телисеңме?
Whether to strike through the text,Текстны сызып ташларгамы
I have a lot of books .,Минем китапларым бик күп.
"This year you shall die , because you have taught rebellion against the Lord . ' ""","Быел син үләчәксең, чөнки Раббыга каршы фетнә күтәрергә өйрәттең."
Number of pixels to put inside the wrap,Төрү эченә куелачак пиксельләр саны
I translate sentences on Tatoeba in my spare time .,Буш вакытымда мин Tatoeba'да җөмләләр тәрҗемә итәм.
- It might help restore the family 's honour .,Бу гаиләнең намусын кайтарырга ярдәм итәргә мөмкин.
Lohara Bk. is the administrative headquarters of the tahsil .,Lohara Bk. - tahsilnıñ administrativ üzäge.
Is the cursor visible in this rich text item ?,Бу баерак текст элементында курсор күренәме?
"Hempstead ( village ) , New York Incorporated village of hempstead .","Хемпстед (авыл), Нью-Йорк Хемпстед инкорпорацияләнгән авылы."
"The Little King began publications in comic book issues from 1933 , was licensed for a 1933-34 series of animated cartoons by Van Beuren Studios and featured in an advertising campaign for Standard Oil .","""Кечкенә патша"" 1933 елдан башлап комикс чыгарылышларында басыла башлады, 1933-34 елларда Van Beuren Studios тарафыннан анимацион мультфильмнар сериясе өчен лицензияләнде һәм Standard Oil өчен реклама кампаниясендә күрсәтелде."
The Marchioness of Aberdeen and Lady lshbel Gordon .,Абердин маркизасы һәм Леди Ишбел Гордон.
Then you might not want it that much .,"Димәк, син аны ул кадәр үк теләмисеңдер."
"Founder and Chair , Society of Behavioral Medicine , Spirituality and Health Special Interest Group ( 2000 - ) .","""Холык-фигыль медицинасы җәмгыяте"", ""Рухият һәм сәламәтлек"" махсус кызыксыну төркеменә нигез салучы һәм аның рәисе (2000 - )."
"Then the magi began to say , ' Killing these people indeed only increases their number ! '",Шуннан соң сихерчеләр: «Бу кешеләрне үтерү аларның санын арттыра гына бит!» — дип сөйли башладылар.
And do not let the hatred of a people prevent you from being just .,Берәр кавемне яратмавыгыз сезне гаделсезлек кылырга этәрмәсен.
"Grände was killed by the Argentine military in an ambush on 14 October 1975 in Tucumán Province , Argentina .",Гранде 1975 елның 14 октябрендә Аргентинаның Тукуман провинциясендә Аргентина хәрбиләре тарафыннан оештырылган засадада үтерелә.
The city was prosperous needless to say .,Шәһәрнең төзек икәнлеген әйтеп торасы да юк иде.
You could think of this course like 270 .,Бу курсны 270 кебек кабул итә аласыз.
So here 's my question to you :,"Шулай итеп, сезгә соравым шул:"
Knowledge is that which necessitates that he in whom it resides ( mahall ) is knowing .,Белем – ул үзе урнашкан урын (мәхәл) иясенең белүче булуын таләп итә торган нәрсә.
Ottawa is the capital of Canada .,Оттава — Канаданың башкаласы.
"While it never reached the boiling point where words turned to fists , the slam organizers had to shake their heads in awe ( and fear ) at the monster they had created .","Сүзләр йодрыкка әйләнгән кайнау ноктасына җитмәсә дә, слэм оештыручылары үзләре тудырган монстрга карап, хәйран калып (һәм куркып) башларын чайкарга мәҗбүр булдылар."
"Then conquer we must , when our cause it is just .","Шуңа күрә без җиңәргә тиешбез, чөнки эшебез хак."
"Retrieved December 6 , 2009 .",2009 елның 6 декабрендә тикшерелгән.
"The third Grizzly is ex-wrestler Maxwell Markham , one of Spider-Man 's enemies .","Өченче Гризли - элеккеге көрәшче Максвелл Маркхэм, Үрмәкүч-кешенең дошманнарының берсе."
I gave up on Tom .,Мин Томга кул селтәдем.
Who are you talking with ?,Син кем белән сөйләшәсең?
"So basically , we might have a paternalistic attitude that will lead us to not want to allow people to engage in this kind of risky behavior .","Димәк, асылда, бездә патерналистик караш булырга мөмкин, һәм бу безне кешеләргә мондый куркыныч тәртиптә катнашырга рөхсәт итмәү теләгенә китерәчәк."
Forests need periodic fires ; rivers need periodic floods .,"Урманнарга вакыт-вакыт янгыннар, ә елгаларга ташулар кирәк."
It was Cork 's 37th title .,Бу Коркның 37 нче титулы иде.
Two trucks approach to pick up the bodies .,Мәетләрне алып китү өчен ике йөк машинасы якынлаша.
It looks for roosting bats by looking for their tents ( which are made of a folded leaf ) .,Ул кунаклый торган ярканатларны аларның (бөкләнгән яфрактан ясалган) чатырларын эзләү юлы белән эзли.
Do you have earphones ?,Sizdä qolaqçın barmı?
The 1986 Chernobyl disaster in Northern Ukraine was the world 's most severe nuclear accident .,1986 елда Төньяк Украинада булган Чернобыль һәлакәте дөньядагы иң авыр атом авариясе иде.
Three streets in the capital cities of former Yugoslav republics bear Mladenović 's name .,Элеккеге Югославия республикаларының башкалаларындагы өч урам Младенович исемен йөртә.
